number of reads,number of barcodes
1,1064738
2,534826
3,376007
4,229735
5,123753
6,60541
7,27331
8,11798
9,5035
10,2193
11,936
12,443
13,296
14,254
15,244
16,258
17,305
18,354
19,415
20,468
21,556
22,561
23,742
24,746
25,879
26,962
27,995
28,1044
29,1124
30,1144
31,1105
32,1044
33,1010
34,904
35,820
36,703
37,596
38,528
39,512
40,407
41,295
42,246
43,194
44,166
45,111
46,84
47,56
48,55
49,30
50,19
51,21
52,22
53,17
54,16
55,8
56,15
57,6
58,7
59,11
60,16
61,4
62,9
63,13
64,20
65,13
66,5
67,10
68,7
69,6
70,7
71,4
72,5
73,5
74,2
75,4
76,4
77,2
78,2
79,1
81,1
90,1
