number of reads,number of barcodes
1,425562
2,188476
3,150105
4,106016
5,64927
6,36339
7,18954
8,10252
9,6378
10,5017
11,5157
12,5711
13,6456
14,7404
15,8364
16,9264
17,10440
18,11504
19,11997
20,12702
21,12969
22,13485
23,13226
24,13187
25,12517
26,11921
27,11183
28,10145
29,9418
30,8358
31,7327
32,6411
33,5396
34,4562
35,3747
36,3051
37,2455
38,1981
39,1480
40,1115
41,901
42,644
43,456
44,341
45,235
46,196
47,123
48,97
49,76
50,61
51,45
52,36
53,36
54,25
55,25
56,20
57,24
58,19
59,11
60,14
61,24
62,12
63,9
64,13
65,9
66,9
67,16
68,5
69,7
70,4
71,7
72,3
73,1
74,2
75,2
77,1
78,2
79,3
82,1
83,1
