number of reads,number of barcodes
1,169052
2,10817
3,1225
4,356
5,234
6,221
7,201
8,174
9,185
10,190
11,196
12,159
13,188
14,164
15,205
16,187
17,210
18,225
19,239
20,233
21,245
22,236
23,268
24,254
25,293
26,295
27,369
28,327
29,380
30,395
31,433
32,449
33,467
34,430
35,556
36,537
37,552
38,575
39,632
40,698
41,690
42,709
43,742
44,796
45,856
46,808
47,893
48,986
49,997
50,1087
51,1078
52,1189
53,1217
54,1333
55,1314
56,1466
57,1500
58,1575
59,1573
60,1644
61,1737
62,1836
63,1765
64,1768
65,1814
66,1825
67,1848
68,1865
69,1837
70,1749
71,1810
72,1724
73,1667
74,1636
75,1506
76,1512
77,1446
78,1353
79,1285
80,1153
81,1098
82,1074
83,913
84,958
85,829
86,741
87,680
88,606
89,535
90,457
91,462
92,369
93,288
94,281
95,267
96,234
97,200
98,176
99,160
100,140
101,95
102,95
103,76
104,62
105,65
106,50
107,39
108,29
109,35
110,29
111,27
112,15
113,13
114,22
115,16
116,12
117,13
118,17
119,14
120,20
121,14
122,20
123,17
124,24
125,22
126,13
127,11
128,20
129,17
130,23
131,13
132,15
133,5
134,10
135,10
136,16
137,17
138,20
139,17
140,15
141,16
142,17
143,14
144,14
145,9
146,19
147,14
148,16
149,15
150,11
151,5
152,7
153,14
154,10
155,8
156,10
157,13
158,9
159,5
160,11
161,7
162,6
163,3
164,7
165,4
166,5
167,6
168,1
169,3
170,3
171,4
172,2
173,2
174,5
175,4
176,5
177,3
178,1
179,3
180,3
181,4
182,1
183,1
184,1
185,1
188,1
191,2
192,1
197,1
201,1
