number of reads,number of barcodes
1,98426
2,4215
3,1572
4,1444
5,1555
6,1841
7,2076
8,2517
9,2899
10,3482
11,4204
12,4864
13,5719
14,6515
15,7534
16,8531
17,9473
18,10368
19,11353
20,12215
21,12685
22,12965
23,12883
24,12480
25,11628
26,10947
27,9864
28,8797
29,7599
30,6374
31,5369
32,4475
33,3461
34,2792
35,2081
36,1604
37,1222
38,884
39,671
40,513
41,369
42,342
43,270
44,215
45,168
46,163
47,161
48,119
49,126
50,129
51,127
52,97
53,99
54,82
55,74
56,65
57,59
58,44
59,52
60,39
61,36
62,20
63,19
64,13
65,10
66,14
67,8
68,5
69,6
70,4
71,3
72,3
75,2
