name,R1
mut-virus-rep2b-PGT121-3-5ug,BG505_mut-virus-rep2b-PGT121-3-5ug_R1.fastq.gz
mut-virus-rep2b-101074-3ug,BG505_mut-virus-rep2b-101074-3ug_R1.fastq.gz
mut-virus-rep2b-PGT121-4-25ug,BG505_mut-virus-rep2b-PGT121-4-25ug_R1.fastq.gz
mut-virus-rep3,BG505_mut-virus-rep3_R1.fastq.gz
mut-virus-rep2b-3BNC117-4ug,BG505_mut-virus-rep2b-3BNC117-4ug_R1.fastq.gz
wt-virus-rep2b,BG505_wt-virus-rep2b_R1.fastq.gz
mut-virus-rep1-VRC01-11ug,BG505_mut-virus-rep1-VRC01-11ug_R1.fastq.gz
wt-virus-rep3,BG505_wt-virus-rep3_R1.fastq.gz
mut-virus-rep3-3BNC117-1-1ug,BG505_mut-virus-rep3-3BNC117-1-1ug_R1.fastq.gz
mut-virus-rep2b-3BN-1074-pool-4ug,BG505_mut-virus-rep2b-3BN-1074-pool-4ug_R1.fastq.gz
mut-virus-rep1-VRC34-33ug,BG505_mut-virus-rep1-VRC34-33ug_R1.fastq.gz
mut-virus-rep3-VRC34-11ug,BG505_mut-virus-rep3-VRC34-11ug_R1.fastq.gz
mut-virus-rep1-10E8-60ug,BG505_mut-virus-rep1-10E8-60ug_R1.fastq.gz
mut-virus-rep3-VRC01-tr2-11ug,BG505_mut-virus-rep3-VRC01-tr2-11ug_R1.fastq.gz
mut-virus-rep2,BG505_mut-virus-rep2_R1.fastq.gz
wt-DNA-rep2,BG505_wt-DNA-rep2_R1.fastq.gz
mut-virus-rep1-PG9-10ug,BG505_mut-virus-rep1-PG9-10ug_R1.fastq.gz
mut-virus-rep2b-PGT145-125ug,BG505_mut-virus-rep2b-PGT145-125ug_R1.fastq.gz
mut-virus-rep3-PG9-10ug,BG505_mut-virus-rep3-PG9-10ug_R1.fastq.gz
mut-DNA-rep2,BG505_mut-DNA-rep2_R1.fastq.gz
mut-virus-rep1-smear-PG9-10ug,BG505_mut-virus-rep1-smear-PG9-10ug_R1.fastq.gz
mut-virus-rep2b,BG505_mut-virus-rep2b_R1.fastq.gz
mut-DNA-rep3,BG505_mut-DNA-rep3_R1.fastq.gz
mut-virus-rep3-VRC34-33ug,BG505_mut-virus-rep3-VRC34-33ug_R1.fastq.gz
mut-virus-rep2-VRC01-8ug,BG505_mut-virus-rep2-VRC01-8ug_R1.fastq.gz
mut-virus-rep2b-3BN-1074-pool-3ug,BG505_mut-virus-rep2b-3BN-1074-pool-3ug_R1.fastq.gz
wt-DNA-rep3,BG505_wt-DNA-rep3_R1.fastq.gz
mut-virus-rep1-PGT151-0-2ug,BG505_mut-virus-rep1-PGT151-0-2ug_R1.fastq.gz
wt-virus-rep2,BG505_wt-virus-rep2_R1.fastq.gz
mut-virus-rep1-PGT121-3-5ug,BG505_mut-virus-rep1-PGT121-3-5ug_R1.fastq.gz
mut-virus-rep2-VRC01-11ug,BG505_mut-virus-rep2-VRC01-11ug_R1.fastq.gz
mut-virus-rep3-VRC01-11ug,BG505_mut-virus-rep3-VRC01-11ug_R1.fastq.gz
wt-DNA-rep1,BG505_wt-DNA-rep1_R1.fastq.gz
mut-virus-rep2b-3BNC117-3ug,BG505_mut-virus-rep2b-3BNC117-3ug_R1.fastq.gz
mut-virus-rep1,BG505_mut-virus-rep1_R1.fastq.gz
mut-virus-rep3-10E8-60ug,BG505_mut-virus-rep3-10E8-60ug_R1.fastq.gz
mut-virus-rep2b-101074-4ug,BG505_mut-virus-rep2b-101074-4ug_R1.fastq.gz
mut-DNA-rep1,BG505_mut-DNA-rep1_R1.fastq.gz
wt-virus-rep1,BG505_wt-virus-rep1_R1.fastq.gz
wt-virus-rep3b,BG505_wt-virus-rep3b_R1.fastq.gz
mut-virus-rep3b-PGT145-125ug,BG505_mut-virus-rep3b-PGT145-125ug_R1.fastq.gz
mut-virus-rep3b-PGT121-3-5ug,BG505_mut-virus-rep3b-PGT121-3-5ug_R1.fastq.gz
mut-virus-rep3b-3BNC117-4ug,BG505_mut-virus-rep3b-3BNC117-4ug_R1.fastq.gz
mut-virus-rep1b-101074-4ug,BG505_mut-virus-rep1b-101074-4ug_R1.fastq.gz
wt-virus-rep1b,BG505_wt-virus-rep1b_R1.fastq.gz
mut-virus-rep1b-3BNC117-4ug,BG505_mut-virus-rep1b-3BNC117-4ug_R1.fastq.gz
mut-virus-rep1b-PGT145-125ug,BG505_mut-virus-rep1b-PGT145-125ug_R1.fastq.gz
mut-virus-rep3b-3BN-1074-pool-3ug,BG505_mut-virus-rep3b-3BN-1074-pool-3ug_R1.fastq.gz
mut-virus-rep3b-101074-4ug,BG505_mut-virus-rep3b-101074-4ug_R1.fastq.gz
mut-virus-rep1b-3BN-1074-pool-3ug,BG505_mut-virus-rep1b-3BN-1074-pool-3ug_R1.fastq.gz
mut-virus-rep1b-3BN-1074-pool-4ug,BG505_mut-virus-rep1b-3BN-1074-pool-4ug_R1.fastq.gz
mut-virus-rep3b-3BN-1074-pool-4ug,BG505_mut-virus-rep3b-3BN-1074-pool-4ug_R1.fastq.gz
mut-virus-rep1b,BG505_mut-virus-rep1b_R1.fastq.gz
mut-virus-rep3b,BG505_mut-virus-rep3b_R1.fastq.gz
mut-virus-rep3-PGT151-0-2ug,BG505_mut-virus-rep3-PGT151-0-2ug_R1.fastq.gz
